State,Date,Work Search,Benefit Year Earnings,Separation Issues,Able + Available ,Employment Service Registration,Base Period Wages,Other Eligibility Issues,All Other Causes,First Payment Timeliness (14 days),First Payment Timeliness (21 days),Improper Payment Rate,Fraud Rate,Nonmonetary Determination
AK,6/30/2019,364,1334,820,1398,1179,1231,1016,638,58,73,16,18,80
AL,6/30/2019,200,273,900,1400,1413,754,469,982,51,54,4,18,73
AR,6/30/2019,809,643,1733,534,678,799,613,622,86,85,20,8,94
AZ,6/30/2019,1161,932,320,701,388,1453,1336,604,72,87,20,21,70
CA,6/30/2019,1312,1203,1733,847,482,341,1661,601,57,65,16,21,68
CO,6/30/2019,281,1393,1567,911,1217,671,214,912,63,79,14,13,95
CT,6/30/2019,1611,682,1450,586,1248,880,1567,1120,78,52,20,12,84
DC,6/30/2019,854,221,1666,1058,286,1670,1786,513,76,86,14,22,91
DE,6/30/2019,1289,650,1361,871,1798,1713,1386,1257,82,71,15,3,80
FL,6/30/2019,474,1436,378,1490,840,1327,670,627,61,72,3,3,77
GA,6/30/2019,523,1038,508,1020,573,466,538,746,87,50,7,20,83
HI,6/30/2019,297,359,730,1494,479,689,653,827,81,45,6,7,93
IA,6/30/2019,880,1653,512,1275,1543,1709,766,783,64,73,11,11,62
ID,6/30/2019,667,1003,422,1494,1723,1326,1036,1413,59,85,16,22,59
IL,6/30/2019,1735,1160,1474,685,327,573,1351,1481,75,54,9,13,74
IN,6/30/2019,1044,1493,1335,449,389,1043,1638,853,64,74,19,5,51
KS,6/30/2019,579,1478,211,316,829,221,1716,624,48,53,17,17,86
KY,6/30/2019,366,1225,412,383,1297,254,1005,776,45,64,18,4,63
LA,6/30/2019,1082,1455,493,1505,577,988,1319,1022,69,73,14,3,65
MA,6/30/2019,770,577,1126,1323,1758,799,1200,363,83,76,13,4,88
MD,6/30/2019,461,1563,1152,685,1582,1771,1326,214,80,53,11,21,75
ME,6/30/2019,1505,784,1377,654,1231,1218,1155,1486,63,64,5,13,93
MI,6/30/2019,376,1733,262,971,1379,1020,1566,484,79,72,10,16,69
MN,6/30/2019,258,671,734,829,553,979,1540,580,48,64,5,14,50
MO,6/30/2019,1750,453,1299,329,1785,893,774,516,70,85,4,20,74
MS,6/30/2019,495,227,486,1471,695,789,938,1398,73,89,3,7,82
MT,6/30/2019,1207,883,457,301,240,416,340,784,79,73,14,10,65
NC,6/30/2019,1618,1131,341,1451,1096,901,444,257,75,54,15,19,74
ND,6/30/2019,788,841,1267,672,960,334,1653,844,57,53,10,18,81
NE,6/30/2019,1262,679,889,1338,1410,610,1477,976,55,79,6,5,63
NH,6/30/2019,1087,1357,1413,218,1219,1490,1777,729,60,80,16,6,90
NJ,6/30/2019,803,907,1163,1587,1274,577,966,1093,70,53,5,6,60
NM,6/30/2019,1251,1549,1646,1289,1018,873,876,619,52,79,11,12,62
NV,6/30/2019,304,359,1250,1657,435,787,945,673,57,63,15,13,60
NY,6/30/2019,1762,272,1722,1080,1543,315,1141,1453,76,71,10,7,67
OH,6/30/2019,648,874,253,416,529,740,659,1024,45,77,15,9,57
OK,6/30/2019,1245,467,1606,353,1530,1798,1556,1646,64,60,16,8,80
OR,6/30/2019,644,949,1222,504,287,1501,1458,320,65,74,10,6,87
PA,6/30/2019,498,1650,939,1046,444,237,325,1402,78,81,8,13,76
PR,6/30/2019,998,307,947,1640,960,315,428,1603,80,56,22,22,92
RI,6/30/2019,1335,311,1190,570,213,473,1720,1499,67,45,3,8,78
SC,6/30/2019,1609,1114,441,431,606,1392,1380,1483,85,81,4,18,78
SD,6/30/2019,1329,360,283,515,1585,758,1261,1008,72,66,11,11,88
TN,6/30/2019,408,1369,1345,952,1364,1217,998,1298,87,72,9,4,79
TX,6/30/2019,834,301,965,1500,521,1760,1779,221,52,52,11,22,63
US,6/30/2019,1236,553,1038,666,815,1255,1470,1161,83,73,18,22,69
UT,6/30/2019,1759,794,1219,711,1143,715,1166,422,58,61,4,9,71
VA,6/30/2019,1483,1700,1612,1552,1795,1396,1093,1718,71,77,10,15,80
VI,6/30/2019,1120,1152,1727,517,252,1017,362,1089,45,48,4,6,80
VT,6/30/2019,556,1451,548,1187,336,463,513,1448,63,50,4,11,94
WA,6/30/2019,1179,813,1089,1579,367,1390,1590,321,49,77,17,9,55
WI,6/30/2019,264,518,1130,713,625,1572,1018,1436,47,87,15,12,85
WV,6/30/2019,927,928,1485,565,785,1712,1467,466,62,55,21,9,66
WY,6/30/2019,765,1368,1225,1760,1396,690,1187,1418,85,64,14,15,58
AK,6/30/2020,1218,883,1393,1539,745,402,1250,677,49,63,4,10,77
AL,6/30/2020,1750,1659,877,584,973,392,1185,331,47,60,18,3,85
AR,6/30/2020,1060,554,931,1638,605,1104,787,1313,64,87,16,12,54
AZ,6/30/2020,857,381,1680,1538,823,437,381,1391,56,67,13,5,71
CA,6/30/2020,273,1092,1553,631,245,1622,1364,418,64,71,16,18,59
CO,6/30/2020,1127,1037,1597,588,266,875,1429,388,76,62,3,11,74
CT,6/30/2020,974,1227,1391,1238,1024,1185,1789,922,47,72,17,15,63
DC,6/30/2020,706,788,456,279,1782,528,917,1507,75,84,18,19,51
DE,6/30/2020,1554,380,1519,430,1779,1701,574,1187,77,52,17,16,95
FL,6/30/2020,829,502,1347,1523,1582,1386,1732,270,87,57,3,18,82
GA,6/30/2020,816,1359,1171,962,617,1084,1081,1119,73,65,22,21,94
HI,6/30/2020,911,427,854,1346,1449,466,592,1153,70,88,19,5,53
IA,6/30/2020,747,1199,1455,1008,916,1276,918,414,88,70,18,17,55
ID,6/30/2020,1386,1727,1793,842,1044,953,502,201,63,73,10,15,89
IL,6/30/2020,1284,891,1380,562,548,1246,1019,1091,73,65,21,12,87
IN,6/30/2020,335,1404,1051,272,813,1301,1111,428,70,71,5,14,60
KS,6/30/2020,1693,924,1001,703,1659,389,511,609,69,81,22,15,65
KY,6/30/2020,560,288,1695,1608,253,1383,1095,363,63,83,9,5,83
LA,6/30/2020,362,243,877,1342,1546,366,1343,891,83,74,9,8,85
MA,6/30/2020,1049,219,1401,1732,1213,546,691,645,81,56,13,9,93
MD,6/30/2020,676,1646,1263,1524,362,606,1335,1748,73,49,8,15,62
ME,6/30/2020,1494,818,746,1725,837,509,1287,331,82,62,20,8,54
MI,6/30/2020,1441,1288,449,1443,285,1247,1211,1517,83,68,7,12,86
MN,6/30/2020,321,1757,1683,779,1495,667,277,1686,78,65,13,16,59
MO,6/30/2020,860,1086,332,1124,1381,491,797,1045,54,63,21,3,73
MS,6/30/2020,1605,1222,1299,1496,1347,323,706,1283,56,45,12,6,90
MT,6/30/2020,1416,565,388,1754,490,1659,779,641,77,48,14,15,91
NC,6/30/2020,859,1502,1693,1294,986,970,1716,889,61,84,21,17,72
ND,6/30/2020,1776,1177,1793,873,1551,1063,971,1788,66,85,19,12,87
NE,6/30/2020,1126,615,1603,487,397,456,1525,320,62,55,5,15,62
NH,6/30/2020,1017,411,1418,1698,1581,805,1462,968,82,53,19,17,77
NJ,6/30/2020,433,525,1268,1454,1680,330,957,1149,90,59,7,19,83
NM,6/30/2020,761,1511,1038,1114,1442,1674,403,1267,59,71,14,4,53
NV,6/30/2020,1533,587,535,1480,865,565,1296,1305,64,71,7,14,71
NY,6/30/2020,483,1535,402,531,581,350,239,317,72,77,3,18,79
OH,6/30/2020,961,1157,867,781,451,1536,295,429,65,89,10,5,52
OK,6/30/2020,1059,1302,1380,233,311,844,1721,1296,78,70,10,9,54
OR,6/30/2020,803,477,1083,1595,1578,1085,1159,325,74,56,9,16,63
PA,6/30/2020,587,1794,483,266,562,684,1168,1677,56,73,22,12,61
PR,6/30/2020,1080,1037,306,1525,599,1421,1146,623,58,89,15,17,71
RI,6/30/2020,1221,378,1574,918,1572,775,832,1044,69,85,8,13,79
SC,6/30/2020,695,746,1165,1020,1179,1264,1097,1313,78,89,4,8,77
SD,6/30/2020,527,1395,1321,834,1130,915,334,638,63,64,9,17,92
TN,6/30/2020,1516,618,233,834,1450,1212,243,721,82,56,3,21,87
TX,6/30/2020,395,1516,1191,1619,683,1456,241,1637,49,49,16,4,80
US,6/30/2020,664,1275,388,906,432,1507,702,391,70,59,5,16,85
UT,6/30/2020,1475,1512,453,1456,403,1748,1785,978,55,86,10,16,78
VA,6/30/2020,553,1208,743,1325,1116,977,1251,584,61,70,8,3,64
VI,6/30/2020,821,1555,1470,1334,910,1430,1148,898,69,85,6,16,86
VT,6/30/2020,932,1656,984,1320,1637,1622,1537,453,86,67,18,8,91
WA,6/30/2020,1624,272,1774,1218,886,1537,344,1528,53,59,21,7,86
WI,6/30/2020,458,1242,497,1243,1523,456,932,712,68,60,16,21,94
WV,6/30/2020,1486,1020,1351,1081,1212,288,1700,1332,60,61,6,15,67
WY,6/30/2020,712,481,1404,1457,1059,1503,582,1689,84,68,4,22,82
AK,6/30/2021,830,1313,777,1448,1072,1280,948,428,80,49,5,10,79
